                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.145,                 4.1719,                 1.2141,                0.00022,                0.02335,                0.00017,                  4e-05,                 1.6952,                 4.9767,                  1.143,             0.00040012,             0.00040012,             0.00040012
                      2,                  1.729,                 2.2715,                 1.0324,                0.00236,                0.26943,                 0.0034,                0.00179,                 1.5579,                 4.6836,                 1.0008,              0.0007984,              0.0007984,              0.0007984
                      3,                 1.6883,                 1.9762,                0.99409,                      1,                0.09816,                 0.5846,                 0.2635,                 1.7064,                 3.2956,                0.97988,              0.0011803,              0.0011803,              0.0011803
                      4,                 1.6458,                 1.8536,                0.99472,                0.59606,                0.58528,                0.66378,                0.33543,                 1.5912,                 2.1715,                0.95767,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.6153,                 1.6403,                0.97506,                 0.5744,                0.79695,                0.72898,                0.32336,                 1.6933,                 1.7334,                0.97802,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5998,                 1.4721,                0.96168,                0.69503,                0.82149,                0.78032,                0.37473,                 1.5111,                 1.4795,                0.92625,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.5286,                   1.35,                0.94663,                0.72721,                0.80538,                0.80997,                0.37281,                 1.5257,                 1.3157,                0.94021,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5082,                 1.2439,                0.94602,                0.77136,                0.83789,                0.85534,                0.40681,                 1.5201,                 1.2986,                 0.9333,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5341,                 1.1787,                0.95152,                 0.7521,                0.84851,                0.83376,                0.38414,                 1.5281,                 1.2219,                0.92665,              0.0012026,              0.0012026,              0.0012026
                     10,                  1.496,                  1.097,                0.93583,                0.86301,                0.85313,                0.91192,                0.46999,                 1.4122,                 1.1196,                0.91919,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.495,                 1.0554,                0.94028,                0.81796,                0.84193,                0.87039,                 0.4049,                 1.5308,                 1.1212,                0.92664,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.4485,                0.99539,                0.93201,                0.82421,                0.87931,                0.91496,                0.46065,                 1.4532,                 1.0121,                0.91674,              0.0011178,              0.0011178,              0.0011178
                     13,                  1.436,                0.98302,                0.93474,                0.89093,                0.89875,                0.94243,                0.49146,                 1.3631,                0.97738,                0.89987,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4506,                0.95959,                0.92411,                0.91054,                0.89557,                0.93898,                0.50231,                 1.3736,                0.95093,                0.91033,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.4254,                0.91542,                0.91648,                0.92218,                0.92211,                0.93884,                0.45404,                 1.4802,                 0.9742,                0.92148,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.4018,                0.89443,                0.91957,                0.90259,                 0.9023,                0.93159,                0.51015,                 1.2691,                0.91021,                0.88555,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3834,                0.85132,                 0.9085,                0.94252,                0.91173,                0.95109,                0.47842,                 1.3421,                0.86785,                0.90223,             0.00097629,             0.00097629,             0.00097629
